,qid1,qid2,question1,question2,is_duplicate
0,5,86134,"What are the differences between a ""traditional"" IRA and a Roth IRA?",Tax on money withdrawn from Roth 401(k) and Roth IRA when living outside the United States and over 59.5-year-old,1
1,2294,86134,Should I put money in both a ROTH and Traditional IRA?,Tax on money withdrawn from Roth 401(k) and Roth IRA when living outside the United States and over 59.5-year-old,1
2,2673,86134,"Pros, cons, & differences in investing in 401k vs. IRA?",Tax on money withdrawn from Roth 401(k) and Roth IRA when living outside the United States and over 59.5-year-old,1
3,5048,86134,What is the difference between a Rollover IRA and a Roth IRA?,Tax on money withdrawn from Roth 401(k) and Roth IRA when living outside the United States and over 59.5-year-old,1
4,27078,86134,18 year old making $60k a year; how should I invest? Traditional or Roth IRA?,Tax on money withdrawn from Roth 401(k) and Roth IRA when living outside the United States and over 59.5-year-old,1
5,86152,86134,What are the pros/cons of Roth IRA Rollover from a traditional IRA vs. from an after-tax 401(k)?,Tax on money withdrawn from Roth 401(k) and Roth IRA when living outside the United States and over 59.5-year-old,1
6,89968,86134,Should I open an RRSP if I don't plan to retire in Canada?,Tax on money withdrawn from Roth 401(k) and Roth IRA when living outside the United States and over 59.5-year-old,1
7,39,48073,"I've often heard of the ""snowball"" method for paying off credit card debt. How does it work?","Why would anyone want to pay off their debts in a way other than ""highest interest"" first?",1
8,52206,48073,Student Loan Repayment,"Why would anyone want to pay off their debts in a way other than ""highest interest"" first?",1
9,56874,48073,"3 loans under my name, 2 are fixed, one is a declining balance interest loan. Which to pay first?","Why would anyone want to pay off their debts in a way other than ""highest interest"" first?",1
10,57170,48073,"Should I consolidate loans and cards, or just cards, leaving multiple loans?","Why would anyone want to pay off their debts in a way other than ""highest interest"" first?",1
11,60830,48073,Student Loan Payment Plan,"Why would anyone want to pay off their debts in a way other than ""highest interest"" first?",1
12,63366,48073,Do I pay a zero  loan before another to clear both loans faster?,"Why would anyone want to pay off their debts in a way other than ""highest interest"" first?",1
13,66407,48073,"Debt Consolidation, trade down car, or both?","Why would anyone want to pay off their debts in a way other than ""highest interest"" first?",1
14,66510,48073,"Two high-interest loans: Pay down one at a time, or split my money?","Why would anyone want to pay off their debts in a way other than ""highest interest"" first?",1
15,73276,48073,"5 credit accounts, from $1750 to $4000, all above 90 utilization. Better to pay $500 on all 5, or pay one off completely for credit score?","Why would anyone want to pay off their debts in a way other than ""highest interest"" first?",1
16,78085,48073,Should I use put extra money toward paying off my student loans or investing in an index fund?,"Why would anyone want to pay off their debts in a way other than ""highest interest"" first?",1
17,78182,48073,"When paying for college, should I take out (interest-free) loans and pay them off with saved money, or use the saved money directly?","Why would anyone want to pay off their debts in a way other than ""highest interest"" first?",1
18,105345,48073,High credit card debt strategies - while doing R&D and trying to launch your own tech startup,"Why would anyone want to pay off their debts in a way other than ""highest interest"" first?",1
19,44,5,TFSA vs. RRSP... Best retirement approach,"What are the differences between a ""traditional"" IRA and a Roth IRA?",1
20,4067,5,I'm an American in my mid 20's. Is there something I should be doing to secure myself financially?,"What are the differences between a ""traditional"" IRA and a Roth IRA?",1
21,11089,5,Any advantage to non-deductible Traditional IRA contibutions?,"What are the differences between a ""traditional"" IRA and a Roth IRA?",1
22,12532,5,Which Roth IRA is the best for a 21 year old who has about $1500?,"What are the differences between a ""traditional"" IRA and a Roth IRA?",1
23,65,1224,When does Ontario's HST come into effect?,"Ontario harmonized sales tax (HST) transition benefit rebate cheques / OSTTB: Who, when, how much?",1
24,1720,1224,"Are the HST rebates only paid for the first year, or will they be issued every year?","Ontario harmonized sales tax (HST) transition benefit rebate cheques / OSTTB: Who, when, how much?",1
25,1734,1224,Ontario HST rebate: Would a single mom of 6 children get more of a rebate?,"Ontario harmonized sales tax (HST) transition benefit rebate cheques / OSTTB: Who, when, how much?",1
26,1785,1224,"Ontario HST rebate: Is there such a thing as $500 HST transition cheques, or is it $335?","Ontario harmonized sales tax (HST) transition benefit rebate cheques / OSTTB: Who, when, how much?",1
27,1854,1224,Ontario HST rebate: Do you still get the HST cheque if only one spouse has filed their taxes?,"Ontario harmonized sales tax (HST) transition benefit rebate cheques / OSTTB: Who, when, how much?",1
28,8190,1224,Ontario HST rebate: Would my child's dependent status change when he/she turns 18?,"Ontario harmonized sales tax (HST) transition benefit rebate cheques / OSTTB: Who, when, how much?",1
29,8777,1224,Ontario HST rebate: I am now 18. Do I get the last rebate cheque?,"Ontario harmonized sales tax (HST) transition benefit rebate cheques / OSTTB: Who, when, how much?",1
30,65,811,When does Ontario's HST come into effect?,What will happen to quarterly GST cheques when HST starts in Ontario?,1
31,65,1507,When does Ontario's HST come into effect?,Ontario HST rebate: When would I qualify?,1
32,65,1121,When does Ontario's HST come into effect?,"Ontario gas prices & HST: What will happen to prices at the pump on July 1, 2010?",1
