,qid1,qid2,question1,question2,is_duplicate
0,2,1,Why can't voting be fair if there are more than two alternatives?,What are the disadvantages of first-past-the-post electoral systems?,1
1,20,1,How does Single Transferable Vote work?,What are the disadvantages of first-past-the-post electoral systems?,1
2,411,1,What are practical steps citizens can take to alter a first past the post system?,What are the disadvantages of first-past-the-post electoral systems?,1
3,10787,1,Number of councils,What are the disadvantages of first-past-the-post electoral systems?,1
4,16622,1,Why does the libertarian party keep failing to gain much approval in US?,What are the disadvantages of first-past-the-post electoral systems?,1
5,25073,1,How did the electoral system work in late Ottoman empire and early Turkey?,What are the disadvantages of first-past-the-post electoral systems?,1
6,27450,1,"Why did a trade-union and labour movement not arise in the United States, as it did in other developed countries?",What are the disadvantages of first-past-the-post electoral systems?,1
7,12,27887,How does direct democracy compare to representative democracy?,Where to draw a line between representative democracy and a direct democracy? [Focus on the *where*],1
8,27842,27887,Which nation is a direct democracy ? (At the national scale),Where to draw a line between representative democracy and a direct democracy? [Focus on the *where*],1
9,24,17,Is it possible to implement an electronic voting system which is as secure as pen-and-paper voting?,What challenges remain for online voting?,1
10,27700,17,Drawbacks of Online Voting,What challenges remain for online voting?,1
11,32620,17,Why do we still need elected representatives?,What challenges remain for online voting?,1
12,42117,17,Real-time online voting,What challenges remain for online voting?,1
13,24,18443,Is it possible to implement an electronic voting system which is as secure as pen-and-paper voting?,Why hasn't Estonia discontinued e-voting?,1
14,50,1154,What reforms have successfully avoided the issues of Gerrymandering?,How come Gerrymandering is still legal?,1
15,6286,1154,Is it true that Republicans have an unfair geographical advantage in elections for the House of Representatives?,How come Gerrymandering is still legal?,1
16,59,6,How does a mandatory voting system affect the outcome of elections?,What are the advantages/disadvantages of a mandatory voting system?,1
17,59,6,How does a mandatory voting system affect the outcome of elections?,What are the advantages/disadvantages of a mandatory voting system?,1
18,15834,6,Can compulsory voting increase the quality of a non-dictatorial republic democracy?,What are the advantages/disadvantages of a mandatory voting system?,1
19,71,12025,What is the difference between parliamentary and presidential governments?,Which US-style presidential democracies have survived long-term?,1
20,80,79,What criteria does a US Presidential candidate need to meet in order to appear on the ballot?,"In the Electoral College, why can electors vote in contrast to their pledge ('faithless')?",1
21,151,79,Why was the Electoral College the system selected by the founding fathers?,"In the Electoral College, why can electors vote in contrast to their pledge ('faithless')?",1
22,545,79,Are state laws restricting electors' votes constitutional?,"In the Electoral College, why can electors vote in contrast to their pledge ('faithless')?",1
23,13152,79,"Isn't the Electoral Vote made so unqualified or ""Charismatic Tyrants"" can not become president?","In the Electoral College, why can electors vote in contrast to their pledge ('faithless')?",1
24,117,101,"What are the practical differences between a US Senator from a party, and an Independent Senator caucusing with that party?",How do independents choose a party to caucus with?,1
25,117,101,"What are the practical differences between a US Senator from a party, and an Independent Senator caucusing with that party?",How do independents choose a party to caucus with?,1
26,4842,101,Why do independents choose a party to caucus with?,How do independents choose a party to caucus with?,1
27,133,131,Did any legislation ever introduce something like the Chicago Plan?,Implications of governments borrowing from a central bank rather than issuing money directly,1
28,26073,131,Can the U.S. government cut a check to taxpayers by printing more money?,Implications of governments borrowing from a central bank rather than issuing money directly,1
29,142,97,What are the conditions required for a territory to become part of United States?,What are the conditions and benefits of U.S. insular properties like Puerto Rico?,1
30,32442,97,How would the United States of America grant Puerto Rico statehood?,What are the conditions and benefits of U.S. insular properties like Puerto Rico?,1
31,173,195,Is there a correlation between political system and economic growth?,"Is there a link between political system and any of the various quality of life indicators, including environmental impacts?",1
32,173,12262,Is there a correlation between political system and economic growth?,The causal relationship between economic development and democracy,1
33,480,12262,Why do developed countries favor democracy?,The causal relationship between economic development and democracy,1
34,30794,12262,Is there a generalized theory on why nation states become democracies or autocracies?,The causal relationship between economic development and democracy,1
35,41326,12262,Is there any evidence that democracy is linked causatively with improved outcomes?,The causal relationship between economic development and democracy,1
36,41326,12262,Is there any evidence that democracy is linked causatively with improved outcomes?,The causal relationship between economic development and democracy,1
37,174,46210,Why don't British kings and queens veto laws?,What personal decision-making powers does the British monarch retain in practice?,1
38,1237,46210,What governmental power does the Monarch hold in Great Britain in practice?,What personal decision-making powers does the British monarch retain in practice?,1
39,16753,46210,What kind of legislative power does the British monarchy possess?,What personal decision-making powers does the British monarch retain in practice?,1
40,19716,46210,What power does the Queen have in the event of a Hung Parliament?,What personal decision-making powers does the British monarch retain in practice?,1
41,20334,46210,Could the Queen have stopped Brexit?,What personal decision-making powers does the British monarch retain in practice?,1
42,25190,46210,Can the Queen of the United Kingdom appoint her successor?,What personal decision-making powers does the British monarch retain in practice?,1
43,39911,46210,Can the Queen still cancel Brexit?,What personal decision-making powers does the British monarch retain in practice?,1
44,43513,46210,The actual purview of Her Majesty The Queen's prerogative?,What personal decision-making powers does the British monarch retain in practice?,1
45,44036,46210,Can the Queen refuse to suspend the Parliament?,What personal decision-making powers does the British monarch retain in practice?,1
46,45914,46210,Could the Queen overturn the UK Supreme Court ruling regarding prorogation of Parliament?,What personal decision-making powers does the British monarch retain in practice?,1
47,45914,46210,Could the Queen overturn the UK Supreme Court ruling regarding prorogation of Parliament?,What personal decision-making powers does the British monarch retain in practice?,1
48,46061,46210,Did the supreme court overrule the monarch?,What personal decision-making powers does the British monarch retain in practice?,1
49,186,2,How have greater than two party systems functioned in the past?,Why can't voting be fair if there are more than two alternatives?,1
50,41399,2,What drawbacks are there in preferential voting?,Why can't voting be fair if there are more than two alternatives?,1
51,191,7,Are the viable political alternatives in the US (e.g. Democrats and Republicans) considered (far) left and (far) right?,"What is meant by the ""left"" and the ""right""?",1
52,319,7,Was Hitler's regime a right-wing regime?,"What is meant by the ""left"" and the ""right""?",1
53,415,7,How to find out whether you're on the left or right?,"What is meant by the ""left"" and the ""right""?",1
54,1081,7,"Given my list of convictions, which US party(ies) should I consider?","What is meant by the ""left"" and the ""right""?",1
55,1738,7,Is there a study that seeks to quantify left/right bias by gender and country?,"What is meant by the ""left"" and the ""right""?",1
56,9159,7,"What does ""far-right extremist"" mean?","What is meant by the ""left"" and the ""right""?",1
57,12181,7,What is the 'alt-right'?,"What is meant by the ""left"" and the ""right""?",1
58,14024,7,How does the alt-right differ from the far-right?,"What is meant by the ""left"" and the ""right""?",1
59,24351,7,"How are the terms ""left wing"" and ""right wing"" applied to different scenarios?","What is meant by the ""left"" and the ""right""?",1
60,24351,7,"How are the terms ""left wing"" and ""right wing"" applied to different scenarios?","What is meant by the ""left"" and the ""right""?",1
61,37255,7,"How does Hitler's interpretation of ""Nationalist Socialism"" relate to the modern interpretation of ""Socialism"" and ""Nationalism""?","What is meant by the ""left"" and the ""right""?",1
62,42274,7,Can left and right be reduced to who takes care of whom?,"What is meant by the ""left"" and the ""right""?",1
63,42274,7,Can left and right be reduced to who takes care of whom?,"What is meant by the ""left"" and the ""right""?",1
64,195,173,"Is there a link between political system and any of the various quality of life indicators, including environmental impacts?",Is there a correlation between political system and economic growth?,1
65,216,93,What is the legal role for parties in the U.S.?,Why are political party memberships public in the US?,1
66,6416,93,Why can't I register with multiple political parties?,Why are political party memberships public in the US?,1
67,221,133,What countries have (at some point in history) been able to significantly reduce their country's debt and what policies are generally attributed?,Did any legislation ever introduce something like the Chicago Plan?,1
68,232,112,"Why hasn't the Senate's ""Nuclear Option"" been invoked?","In the U.S., why does the majority party in a new Senate session always approve the filibuster rule?",1
69,232,112,"Why hasn't the Senate's ""Nuclear Option"" been invoked?","In the U.S., why does the majority party in a new Senate session always approve the filibuster rule?",1
70,249,223,Why is the president unable to grant a pardon for State offenses?,What is the head-of-state pardon for?,1
71,251,223,Does the head-of-state pardon violate separation of powers?,What is the head-of-state pardon for?,1
72,274,282,How is crime addressed according to (radical) pacifism?,Does radical pacifism reject police violence?,1
73,282,274,Does radical pacifism reject police violence?,How is crime addressed according to (radical) pacifism?,1
74,283,268,What is the difference between sortition and demarchy?,What are the main advantages and disadvantages of sortition?,1
75,38098,268,"Do citizens' assemblies ""work""?",What are the main advantages and disadvantages of sortition?,1
76,290,283,Is there any difference between demarchy and stochocracy?,What is the difference between sortition and demarchy?,1
77,38098,283,"Do citizens' assemblies ""work""?",What is the difference between sortition and demarchy?,1
78,312,299,Are there any countries with no elections at all?,Are there countries considered socialist that do NOT have parliaments and elections?,1
79,319,24665,Was Hitler's regime a right-wing regime?,Is fascism left or right wing?,1
80,42041,24665,Who are the main interests behind a culture that Henry Giroux calls the dictatorship of Ignorance?,Is fascism left or right wing?,1
81,323,308,"Are worker cooperatives socialist, capitalist, or their own category?","Are there good examples of countries ""incorrectly"" self-identifying as ""socialist""?",1
82,327,138,Is there any rational alternative besides the Democracy?,Can the Chinese government system be considered a limited form of democracy?,1
83,353,338,What is the difference between liberalism and libertarianism?,(Why) does the US left promote federal powers over state powers?,1
84,387,384,Are single-member legislative districts a guarantee for two party systems?,What factors influence the number of political parties?,1
85,567,384,Why does Italy have so many political parties?,What factors influence the number of political parties?,1
86,396,95,What are frequently heard arguments in favour or against term limits?,How is corruption measured?,1
87,396,412,What are frequently heard arguments in favour or against term limits?,Is there any data on how much gerrymandering influences incumbent advantage?,1
88,862,412,Why is redistricting not an automated process?,Is there any data on how much gerrymandering influences incumbent advantage?,1
89,1595,412,Is democracy a hegemony?,Is there any data on how much gerrymandering influences incumbent advantage?,1
90,404,406,"How does libertarianism challenge a ""property is theft"" counter-argument to a ""tax is theft"" argument?",Are there libertarian views on proper procedure to obtain property that was previously unowned?,1
91,1084,406,"In the US, why do libertarians tend to side with the GOP rather than the DNC?",Are there libertarian views on proper procedure to obtain property that was previously unowned?,1
92,410,370,What is the legality of using foreign law to decide domestic cases?,How are conflicts between constitutional and treaty obligations resolved?,1
93,32915,370,Why didn't Canada leave the UN conventions on illicit drugs before legalizing marijuana?,How are conflicts between constitutional and treaty obligations resolved?,1
94,432,415,"How is the word ""populist"" used in practice?",How to find out whether you're on the left or right?,1
95,42274,415,Can left and right be reduced to who takes care of whom?,How to find out whether you're on the left or right?,1
96,437,64,Should politicians be bound to keep campaign promises?,What inhibits a winning candidate from doing exactly the opposite of what he promised?,1
97,437,64,Should politicians be bound to keep campaign promises?,What inhibits a winning candidate from doing exactly the opposite of what he promised?,1
98,27425,64,Written contract with a presidential candidate?,What inhibits a winning candidate from doing exactly the opposite of what he promised?,1
99,37839,64,Removal of legislators who fail to discharge accepted manifesto commitments,What inhibits a winning candidate from doing exactly the opposite of what he promised?,1
100,437,186,Should politicians be bound to keep campaign promises?,How have greater than two party systems functioned in the past?,1
101,450,465,"In the US, why are corporations people?",What arguments can be given in favour of financial barriers for participation in elections or electoral debates?,1
102,450,1671,"In the US, why are corporations people?",What are the benefits/drawbacks of a weighted vote based upon federal taxes paid?,1
